name,n_trials,sources,p_feasible,time_mean,time_sd,time_p10,time_p50,time_p90,score_mean,score_p10,score_p50,score_p90,p_finish_mean,gm_p10,gm_p50,freeboard_p10,gz_margin_p10,swamp_reserve_p10,warp_p90,twist_p90,tape_spare_p10,board_spare_p10,p_feasible_se,score_p10_se,score_mean_se,time_mean_se,robust_score,crew_posture,crew_x_frac,length,bottom_width,beam,side_height,bow_rocker,chine_frac,n_frames,free_water_lanes,chine_tape_layers,skin_layers,decked_ends,bow_taper,bow_sheer,tape_diag_density,pre_race_soak_min,pacing,source,orig_name
pi_r042950,4000,"build,race,model",0.8705,78.6143300000015,5.952056518152762,71.50000000000291,78.0800000000016,86.44399999999993,80.12236845530428,76.5852721431436,80.51978877051995,83.40865949540043,0.8713243821473965,18.753223579499096,20.587656647697436,9.442457131495164,1.670560056463656,40.0,0.0175395140938694,4.756751524793381,0.0185669141198989,0.084653526497974,0.0053087133563604,0.0706731821955753,0.0475754629737606,0.0941102767970703,76.5852721431436,kneeling_tall|kneeling_tall,0.28|0.7,101.53574024794514,34.44653465768708,36.94987651479673,13.335386582173616,1.0062425234748775,0.826077779059708,8,2,1,1,True,4.438614362415629,4.816040786258943,0.2122305120915559,0.4122638501654462,even,pi,r042950
carter_r002651,4000,"build,race,model",0.93025,82.64969000000069,6.238110884774108,75.28000000000216,81.94000000000084,90.73999999999909,78.88638553834757,75.7899388293588,79.12326587651233,81.77945767479369,0.8744189213914728,20.394487454179227,22.102249541336175,11.270808942232453,2.1421152899366818,8.984375,0.0209597678617195,3.863463758766481,0.0085747515045668,0.0960247079653602,0.0040275593571044,0.0626707481787094,0.0387628675412777,0.0986331934628718,75.7899388293588,kneeling_low|kneeling_low,0.24|0.78,100.8687004971026,34.4503719608189,37.16771141448194,16.9176113398023,0.2399484807954059,0.5210872048203918,9,1,1,1,True,10.419973691449757,2.8066325617432852,0.6553106567400877,1.6710018492205374,even,carter,r002651
mason_r016422,4000,"build,race,model",0.9115,90.75080499999908,7.36187574301328,81.6000000000009,90.44999999999914,100.00199999999724,79.03059579783702,75.16800479219926,79.32378963679054,82.82545127833525,0.8941560567369317,25.472034898615483,27.53095467563733,11.914851339439489,2.90751436407918,40.0,0.0098720933963757,4.560104576827304,0.003342749892791,0.069195805260797,0.0044907613497045,0.0790047000495898,0.0517754250621838,0.1164014759953319,75.16800479219926,back_on_heels|back_on_heels,0.3|0.72,95.96511863926268,34.96778862457963,36.25363543090634,15.843359399666364,2.647698904981706,0.6872701633152647,10,2,2,1,True,0.3041485684871384,4.73446384495824,0.4889743426682126,3.0063776695486233,even,mason,r016422
pi_r044947,4000,"build,race,model",0.74575,87.59278999999972,6.948550496641864,79.00000000000142,86.95999999999984,96.63999999999793,78.78208119162026,75.15191744152182,79.22247605274907,82.52486483996738,0.8634582648968759,25.01183439208935,26.82381511990811,7.114240790283362,2.926722764269888,40.0,0.011393341836541,3.972705375894587,-0.0239053704449537,0.2011739260988928,0.0068848917475149,0.0764247396791722,0.0574849688400961,0.1098662300304123,75.15191744152182,back_on_heels|back_on_heels,0.3|0.72,92.61543621410982,35.64504371962393,36.8580746987381,11.284562762066288,1.244458098677976,0.8461959302628201,5,2,2,1,True,10.602580685518689,1.4816930466387437,0.8014740414836419,1.761856646128495,even,pi,r044947
pi_r021732,4000,"build,race,model",0.98325,81.98503500000082,6.352731746966906,74.48000000000232,81.22000000000098,90.50199999999911,78.7179070263282,75.05394872538906,79.20295884948592,82.18354804752359,0.8476431251879055,18.5248242116893,20.21621811013288,11.776655395918176,1.977389744729652,7.890625,0.0136894724184715,4.682973356465211,0.0508753414574935,0.1206278292536237,0.0020291277374773,0.0736701915612487,0.0530786128643271,0.1004455084223794,75.05394872538906,kneeling_low|kneeling_low,0.24|0.78,104.30531334402828,33.48449630732969,35.90546041017103,16.010291515152176,4.392672941832146,0.9371001681661648,7,1,2,1,True,21.482787858910335,3.3906296478622995,0.576033394361761,1.046356901665018,even,pi,r021732
carter_r028201,4000,"build,race,model",0.69225,89.85695499999926,7.236190685841871,80.96000000000103,89.49999999999933,99.2019999999974,78.4238612416796,74.97682216945786,78.52457347928254,81.74093272451205,0.8881232152322426,20.301732233199175,22.332182338329176,9.276909110546494,2.1184388051180485,40.0,0.0280454930622814,3.0726549401485856,0.0210793364630192,0.163285612020534,0.0072979438457006,0.0720585864228101,0.0420736548274609,0.1144142207527812,74.97682216945786,kneeling_upright|kneeling_upright,0.28|0.7,87.08124420077618,34.37597603661949,37.04353010733606,13.83994317143418,1.435043574050988,0.2243190798343769,8,2,1,1,True,1.532276461987145,4.26113478064469,0.5169852149845646,0.5901270816220722,even,carter,r028201
mac_r014251,4000,"build,race,model",0.92475,95.2500099999982,7.976718950243738,85.6400000000001,94.89999999999826,105.56199999999612,78.43064420380479,74.76442507070267,78.57155338492353,81.99976580958267,0.87659397883268,16.549926393285393,18.042523908475303,10.641409318021598,2.134714970269586,40.0,0.0171068736118572,3.017565699190051,0.1064399038372594,0.2061356987536117,0.0041709542523264,0.079265173257934,0.0475551185880293,0.1261230006889876,74.76442507070267,kneeling_low|kneeling_low,0.24|0.78,83.87834412720555,33.87013182374401,37.86724333373116,15.12771297208826,0.2867378141204236,0.993290438869416,6,2,2,1,True,9.989007258694809,1.5273094605193722,0.3914681963231899,1.1212964868811497,even,mac,r014251
carter_r013511,4000,"build,race,model",0.99975,87.73767999999967,6.925378952518766,79.18000000000139,87.30999999999977,96.78199999999788,78.02579892442292,74.35756553054738,78.2253220132314,81.51413483107325,0.8505259115870027,20.05525728537534,21.60115118879154,8.976517638846891,2.435338546198372,9.453125,0.0207135191320318,3.86607671293028,0.0820754716411028,0.1980413921800152,0.0002499687480466,0.0761394367665087,0.0451445504511604,0.1094998557487519,74.35756553054738,back_on_heels|back_on_heels,0.28|0.7,93.70934818261006,33.527090062574146,36.75360449745207,13.512419431034536,1.8149349602930251,0.91513872037332,7,1,1,1,True,15.79118207130985,3.626538898963415,0.5361591833470447,1.2355279762027254,even,carter,r013511
mac_r024387,4000,"build,race,model",1.0,94.81674999999828,7.838973441314176,85.19800000000019,94.33999999999835,104.7239999999963,77.88663249771925,74.22345292199086,78.05757294780256,81.45422725974817,0.8823000044985366,22.21270367745589,23.878558339402986,10.69408490626544,2.576472414368864,10.546875,0.0247555503555925,4.1390462322066455,0.1048439889140335,0.1722814099860799,0.0,0.0747660950130005,0.0457734045890328,0.1239450529606053,74.22345292199086,back_on_heels|back_on_heels,0.27|0.75,88.83205406240245,33.620406504720464,36.49277200641709,15.04307810510108,2.463212571954786,0.5320458623387981,8,1,2,1,True,4.521613574457915,4.1930987928324495,0.3582133949862794,4.0911202009537915,even,mac,r024387
mac_r011408,4000,"build,race,model",0.67025,73.17423000000255,5.373412686372004,66.60000000000389,73.02000000000261,80.00000000000122,78.1958240688566,74.01412334635765,79.0846411125813,81.89517377987674,0.8503724171266824,15.2712066175326,16.916345765051787,11.413297237553593,1.529982897805718,40.0,0.0240949770596796,5.496016347898022,-0.0152809011428281,0.0557636126534755,0.0074332855706612,0.0740524472204727,0.0679462076986539,0.0849611144848977,74.01412334635765,kneeling_tall|kneeling_tall,0.3|0.72,108.22988103329531,35.773624412779206,41.12201572076229,15.427196347933066,1.197264859829564,0.7906672671567379,8,2,2,1,True,31.05096290855972,0.5536567066821392,0.3703859589007914,0.4966516889414269,even,mac,r011408
